listing pseudo or frameshifted genes in bop27 annotation

Gene ID	Locus Tag	Product Name	Type	Start	Stop
NC_000913:complement(join(380844..381260,382591..382872)):CDS	"b4579"		CDS-pseudo	380844	382872
NC_000913:join(390251..391708,392970..394418):CDS	"b4580"		CDS-pseudo	390251	394418
NC_000913:408609..408950:CDS	"b0392"		CDS-pseudo	408609	408950
NC_000913:527952..528659:CDS	"b0499"		CDS-pseudo	527952	528659
NC_000913:528640..529130:CDS	"b0501"		CDS-pseudo	528640	529130
NC_000913:529500..529592:CDS	"b4632"		CDS-pseudo	529500	529592
NC_000913:complement(join(529595..529660,529660..530016)):CDS	"b0502"		CDS-pseudo	529595	530016
NC_000913:complement(565858..566079):CDS	"b4633"		CDS-pseudo	565858	566079
NC_000913:complement(566098..566376):CDS	"b0539"		CDS-pseudo	566098	566376
NC_000913:566376..566687:CDS	"b4508"		CDS-pseudo	566376	566687
NC_000913:join(566684..566776,568035..568247):CDS	"b0542"		CDS-pseudo	566684	568247
NC_000913:complement(join(574529..574586,575786..576825)):CDS	"b0553"		CDS-pseudo	574529	576825
NC_000913:581354..581662:CDS	"b4634"		CDS-pseudo	581354	581662
NC_000913:581660..582097:CDS	"b0561"		CDS-pseudo	581660	582097
NC_000913:complement(join(582152..582804,582803..582806)):CDS	"b0562"		CDS-pseudo	582152	582806
NC_000913:582953..583135:CDS	"b0563"		CDS-pseudo	582953	583135
NC_000913:join(658031..658225,658225..658818):CDS	"b4581"		CDS-pseudo	658031	658818
NC_000913:complement(715947..716597):CDS	"b0691"		CDS-pseudo	715947	716597
NC_000913:complement(716721..716870):CDS	"b4636"		CDS-pseudo	716721	716870
NC_000913:734133..735653:CDS	"b0703"		CDS-pseudo	734133	735653
NC_000913:736445..736684:CDS	"b4514"		CDS-pseudo	736445	736684
NC_000913:736825..737961:CDS	"b0705"		CDS-pseudo	736825	737961
NC_000913:join(1081356..1081460,1081460..1082185):CDS	"b4490"		CDS-pseudo	1081356	1082185
NC_000913:1095505..1095846:CDS	"b1028"		CDS-pseudo	1095505	1095846
NC_000913:1204170..1204403:CDS	"b4692"		CDS-pseudo	1204170	1204403
NC_000913:1204404..1205537:CDS	"b4693"		CDS-pseudo	1204404	1205537
NC_000913:1205731..1206142:CDS	"b1151"		CDS-pseudo	1205731	1206142
NC_000913:1206143..1206922:CDS	"b1152"		CDS-pseudo	1206143	1206922
NC_000913:complement(1209119..1209619):CDS	"b1157"		CDS-pseudo	1209119	1209619
NC_000913:1211413..1211577:CDS	"b4519"		CDS-pseudo	1211413	1211577
NC_000913:join(1219601..1222174,1222174..1222248):CDS	"b4491"		CDS-pseudo	1219601	1222248
NC_000913:join(1223564..1223671,1223671..1223907):CDS	"b4521"		CDS-pseudo	1223564	1223907
NC_000913:complement(join(1294426..1294992,1294992..1295141,:CDS	"b4573"		CDS-pseudo	1294426	1295141
NC_000913:join(1380821..1381777,1381777..1381902):CDS	"b4524"		CDS-pseudo	1380821	1381902
NC_000913:complement(1390725..1390862):CDS	"b4525"		CDS-pseudo	1390725	1390862
NC_000913:complement(1390868..1390933):CDS	"b4673"		CDS-pseudo	1390868	1390933
NC_000913:1422701..1423200:CDS	"b1361"		CDS-pseudo	1422701	1423200
NC_000913:1423201..1423644:CDS	"b1362"		CDS-pseudo	1423201	1423644
NC_000913:1425630..1426082:CDS	"b1366"		CDS-pseudo	1425630	1426082
NC_000913:1426454..1427386:CDS	"b1368"		CDS-pseudo	1426454	1427386
NC_000913:join(1427389..1427598,1428796..1428984):CDS	"b4570"		CDS-pseudo	1427389	1428984
NC_000913:complement(1434958..1435008):CDS	"b4638"		CDS-pseudo	1434958	1435008
NC_000913:join(1465392..1467904,1469241..1469293,1470517..1474013):CDS	"b4492"		CDS-pseudo	1465392	1474013
NC_000913:complement(join(1489713..1489964,1489964..1490713)):CDS	"b4493"		CDS-pseudo	1489713	1490713
NC_000913:complement(1503218..1503649):CDS	"b4578"		CDS-pseudo	1503218	1503649
NC_000913:1527902..1529938:CDS	"b1456"		CDS-pseudo	1527902	1529938
NC_000913:join(1530586..1531323,1531325..1531639):CDS	"b1459"		CDS-pseudo	1530586	1531639
NC_000913:complement(join(1544384..1544764,1544764..1545714)):CDS	"b1471"		CDS-pseudo	1544384	1545714
NC_000913:complement(1545750..1546028):CDS	"b1472"		CDS-pseudo	1545750	1546028
NC_000913:complement(1588853..1590079):CDS	"b1505"		CDS-pseudo	1588853	1590079
NC_000913:complement(join(1590334..1590426,1590426..1590536)):CDS	"b1506"		CDS-pseudo	1590334	1590536
NC_000913:complement(join(1592665..1594125,1594127..1597987)):CDS	"b4696"		CDS-pseudo	1592665	1597987
NC_000913:complement(join(1631002..1632285,1652755..1652838)):CDS	"b4600"		CDS-pseudo	1631002	1652838
NC_000913:complement(1635840..1636367):CDS	"b1548"		CDS-pseudo	1635840	1636367
NC_000913:complement(1647174..1647356):CDS	"b1567"		CDS-pseudo	1647174	1647356
NC_000913:complement(1647358..1647636):CDS	"b1568"		CDS-pseudo	1647358	1647636
NC_000913:1650078..1650842:CDS	"b1577"		CDS-pseudo	1650078	1650842
NC_000913:1650845..1651537:CDS	"b1578"		CDS-pseudo	1650845	1651537
NC_000913:1651551..1652708:CDS	"b1579"		CDS-pseudo	1651551	1652708
NC_000913:join(1803094..1803519,1803518..1804993):CDS	"b4494"		CDS-pseudo	1803094	1804993
NC_000913:complement(join(2011223..2011357,2011363..2012040,:CDS	"b4495"		CDS-pseudo	2011223	2012040
NC_000913:2012502..2012663:CDS	"b1936"		CDS-pseudo	2012502	2012663
NC_000913:join(2034051..2034713,2034713..2035243):CDS	"b4496"		CDS-pseudo	2034051	2035243
NC_000913:complement(2052276..2053328):CDS	"b4497"		CDS-pseudo	2052276	2053328
NC_000913:complement(2066068..2066154):CDS	"b4639"		CDS-pseudo	2066068	2066154
NC_000913:complement(join(2067360..2067458,2067458..2067892)):CDS	"b4640"		CDS-pseudo	2067360	2067892
NC_000913:complement(2068261..2068419):CDS	"b4641"		CDS-pseudo	2068261	2068419
NC_000913:join(2068635..2068940,2070277..2070474):CDS	"b4582"		CDS-pseudo	2068635	2070474
NC_000913:2070660..2071211:CDS	"b1999"		CDS-pseudo	2070660	2071211
NC_000913:2077940..2078107:CDS	"b2006"		CDS-pseudo	2077940	2078107
NC_000913:complement(2078549..2078677):CDS	"b4642"		CDS-pseudo	2078549	2078677
NC_000913:2078746..2078931:CDS	"b4538"		CDS-pseudo	2078746	2078931
NC_000913:complement(join(2101396..2101744,2102944..2103389)):CDS	"b4571"		CDS-pseudo	2101396	2103389
NC_000913:complement(2167602..2167814):CDS	"b2083"		CDS-pseudo	2167602	2167814
NC_000913:complement(join(2169693..2170167,2171429..2171727)):CDS	"b4498"		CDS-pseudo	2169693	2171727
NC_000913:complement(join(2172921..2173362,2173363..2174276)):CDS	"b2092"		CDS-pseudo	2172921	2174276
NC_000913:join(2196472..2199318,2199320..2200267):CDS	"b4499"		CDS-pseudo	2196472	2200267
NC_000913:2209098..2211098:CDS	"b2122"		CDS-pseudo	2209098	2211098
NC_000913:complement(join(2227321..2228607,2228607..2228756)):CDS	"b2139"		CDS-pseudo	2227321	2228756
NC_000913:complement(join(2286388..2288912,2290112..2290178)):CDS	"b2190"		CDS-pseudo	2286388	2290178
NC_000913:complement(2329796..2334400):CDS	"b4500"		CDS-pseudo	2329796	2334400
NC_000913:2349649..2349891:CDS	"b2238"		CDS-pseudo	2349649	2349891
NC_000913:2357802..2357999:CDS	"b4543"		CDS-pseudo	2357802	2357999
NC_000913:complement(2452354..2454999):CDS	"b4661"		CDS-pseudo	2452354	2454999
NC_000913:2470813..2471103:CDS	"b2353"		CDS-pseudo	2470813	2471103
NC_000913:complement(2471542..2472120):CDS	"b2355"		CDS-pseudo	2471542	2472120
NC_000913:complement(2472116..2472385):CDS	"b2356"		CDS-pseudo	2472116	2472385
NC_000913:complement(2472876..2473583):CDS	"b2358"		CDS-pseudo	2472876	2473583
NC_000913:2476179..2476229:CDS	"b4545"		CDS-pseudo	2476179	2476229
NC_000913:complement(2772000..2772152):CDS	"b2638"		CDS-pseudo	2772000	2772152
NC_000913:complement(join(2772165..2773064,2773064..2773180)):CDS	"b2641"		CDS-pseudo	2772165	2773180
NC_000913:join(2775543..2775722,2775722..2775814):CDS	"b4644"		CDS-pseudo	2775543	2775814
NC_000913:complement(2783063..2783302):CDS	"b2648"		CDS-pseudo	2783063	2783302
NC_000913:complement(2783636..2785009):CDS	"b2650"		CDS-pseudo	2783636	2785009
NC_000913:2786395..2788647:CDS	"b4462"		CDS-pseudo	2786395	2788647
NC_000913:join(2808314..2808574,2808568..2809491):CDS	"b2681"		CDS-pseudo	2808314	2809491
NC_000913:join(2990552..2990947,2990946..2991041):CDS	"b2850"		CDS-pseudo	2990552	2991041
NC_000913:join(2993937..2994380,2994380..2994439):CDS	"b2854"		CDS-pseudo	2993937	2994439
NC_000913:complement(2994458..2995090):CDS	"b2856"		CDS-pseudo	2994458	2995090
NC_000913:complement(join(2995312..2995758,2995758..2996018)):CDS	"b2858"		CDS-pseudo	2995312	2996018
NC_000913:complement(2995960..2996358):CDS	"b2859"		CDS-pseudo	2995960	2996358
NC_000913:complement(2997690..2998826):CDS	"b2863"		CDS-pseudo	2997690	2998826
NC_000913:complement(join(3035182..3036204,3036206..3036280)):CDS	"b2891"	"peptide chain release factor rf-2"	CDS-frameshift	3035182	3036280
NC_000913:complement(3059379..3059699):CDS	"b2915"		CDS-pseudo	3059379	3059699
NC_000913:complement(3111126..3112088):CDS	"b2969"		CDS-pseudo	3111126	3112088
NC_000913:complement(3112091..3112939):CDS	"b2970"		CDS-pseudo	3112091	3112939
NC_000913:complement(3129041..3130141):CDS	"b2981"		CDS-pseudo	3129041	3130141
NC_000913:complement(join(3146854..3147270,3147270..3147689)):CDS	"b4658"		CDS-pseudo	3146854	3147689
NC_000913:join(3186059..3186088,3187425..3189863):CDS	"b3046"		CDS-pseudo	3186059	3189863
NC_000913:3280699..3281073:CDS	"b3134"		CDS-pseudo	3280699	3281073
NC_000913:3281069..3281623:CDS	"b3135"		CDS-pseudo	3281069	3281623
NC_000913:join(3365183..3365549,3366749..3366927):CDS	"b4569"		CDS-pseudo	3365183	3366927
NC_000913:3404493..3404635:CDS	"b4697"		CDS-pseudo	3404493	3404635
NC_000913:join(3404636..3404731,3404730..3405029):CDS	"b4646"		CDS-pseudo	3404636	3405029
NC_000913:join(3419040..3419105,3419105..3420064):CDS	"b3268"		CDS-pseudo	3419040	3420064
NC_000913:complement(join(3559846..3560451,3560455..3560603)):CDS	"b3423"		CDS-pseudo	3559846	3560603
NC_000913:complement(3563786..3564004):CDS	"b3427"		CDS-pseudo	3563786	3564004
NC_000913:join(3583037..3583417,3584195..3584308):CDS	"b3443"		CDS-pseudo	3583037	3584308
NC_000913:3623886..3624236:CDS	"b4552"		CDS-pseudo	3623886	3624236
NC_000913:complement(join(3632851..3633264,3633264..3634457)):CDS	"b4660"		CDS-pseudo	3632851	3634457
NC_000913:join(3651290..3652030,3653230..3653712):CDS	"b3504"		CDS-pseudo	3651290	3653712
NC_000913:complement(3695232..3695984):CDS	"b3534"		CDS-pseudo	3695232	3695984
NC_000913:complement(3720447..3720631):CDS	"b4647"		CDS-pseudo	3720447	3720631
NC_000913:complement(3750812..3750913):CDS	"b4648"		CDS-pseudo	3750812	3750913
NC_000913:3750917..3751108:CDS	"b4649"		CDS-pseudo	3750917	3751108
NC_000913:3767220..3768164:CDS	"b3595"		CDS-pseudo	3767220	3768164
NC_000913:3768638..3768889:CDS	"b4650"		CDS-pseudo	3768638	3768889
NC_000913:join(3768891..3768974,3768974..3769255):CDS	"b4651"		CDS-pseudo	3768891	3769255
NC_000913:join(3769344..3769670,3769672..3769782):CDS	"b4615"		CDS-pseudo	3769344	3769782
NC_000913:join(3769947..3770033,3770032..3770145):CDS	"b4652"		CDS-pseudo	3769947	3770145
NC_000913:complement(join(3815833..3815880,3815880..3816548)):CDS	"b3643"		CDS-pseudo	3815833	3816548
NC_000913:3836424..3836555:CDS	"b4653"		CDS-pseudo	3836424	3836555
NC_000913:complement(3861172..3861986):CDS	"b4556"		CDS-pseudo	3861172	3861986
NC_000913:complement(3861986..3863602):CDS	"b3683"		CDS-pseudo	3861986	3863602
NC_000913:join(3950559..3951542,3951541..3952203):CDS	"b4488"		CDS-pseudo	3950559	3952203
NC_000913:complement(join(3960011..3960253,3960253..3960459)):CDS	"b3777"		CDS-pseudo	3960011	3960459
NC_000913:join(4250702..4250884,4250884..4250958,4250960..4252282):CDS	"b4038"		CDS-pseudo	4250702	4252282
NC_000913:complement(join(4322444..4322815,4322806..4323231)):CDS	"b4104"		CDS-pseudo	4322444	4323231
NC_000913:complement(join(4362192..4362272,4362271..4362354)):CDS	"b4654"		CDS-pseudo	4362192	4362354
NC_000913:4427695..4428096:CDS	"b4205"		CDS-pseudo	4427695	4428096
NC_000913:4459491..4459856:CDS	"b4236"		CDS-pseudo	4459491	4459856
NC_000913:4496676..4497941:CDS	"b4271"		CDS-pseudo	4496676	4497941
NC_000913:complement(join(4499594..4500535,4500535..4500792)):CDS	"b4575"		CDS-pseudo	4499594	4500792
NC_000913:complement(4506627..4506857):CDS	"b4281"		CDS-pseudo	4506627	4506857
NC_000913:4506862..4507110:CDS	"b4282"		CDS-pseudo	4506862	4507110
NC_000913:join(4507198..4507452,4509010..4509480,4509480..4509794):CDS	"b4623"		CDS-pseudo	4507198	4509794
NC_000913:complement(4508677..4508943):CDS	"b4561"		CDS-pseudo	4508677	4508943
NC_000913:4509805..4510134:CDS	"b4286"		CDS-pseudo	4509805	4510134
NC_000913:4518722..4519225:CDS	"b4576"		CDS-pseudo	4518722	4519225
NC_000913:complement(4532051..4532311):CDS	"b4656"		CDS-pseudo	4532051	4532311
NC_000913:complement(4534431..4534676):CDS	"b4657"		CDS-pseudo	4534431	4534676
NC_000913:join(4534792..4535004,4535004..4536032):CDS	"b4308"		CDS-frameshift-pseudo	4534792	4536032
NC_000913:4568999..4569919:CDS	"b4339"		CDS-pseudo	4568999	4569919
NC_000913:4572415..4573917:CDS	"b4342"		CDS-pseudo	4572415	4573917
NC_000913:4573920..4576856:CDS	"b4486"		CDS-pseudo	4573920	4576856
