listing pseudo or frameshifted genes in nc_000913 annotation

Gene ID	Locus Tag	Product Name	Type	Start	Stop
NC_000913:317439..317567:CDS	"b4631"		CDS-pseudo	317439	317567
NC_000913:complement(join(380844..381260,382591..382872)):CDS	"b4579"		CDS-pseudo	380844	382872
NC_000913:join(390251..391708,392970..394418):CDS	"b4580"		CDS-pseudo	390251	394418
NC_000913:408609..408950:CDS	"b0392"		CDS-pseudo	408609	408950
NC_000913:527952..528659:CDS	"b0499"		CDS-pseudo	527952	528659
NC_000913:528640..529130:CDS	"b0501"		CDS-pseudo	528640	529130
NC_000913:529500..529592:CDS	"b4632"		CDS-pseudo	529500	529592
NC_000913:complement(join(529595..529660,529660..530016)):CDS	"b0502"		CDS-pseudo	529595	530016
NC_000913:complement(565858..566079):CDS	"b4633"		CDS-pseudo	565858	566079
NC_000913:complement(566098..566376):CDS	"b0539"		CDS-pseudo	566098	566376
NC_000913:566376..566687:CDS	"b4508"		CDS-pseudo	566376	566687
NC_000913:join(566684..566776,568035..568247):CDS	"b0542"		CDS-pseudo	566684	568247
NC_000913:complement(join(574529..574586,575786..576825)):CDS	"b0553"		CDS-pseudo	574529	576825
NC_000913:581354..581662:CDS	"b4634"		CDS-pseudo	581354	581662
NC_000913:581660..582097:CDS	"b0561"		CDS-pseudo	581660	582097
NC_000913:complement(join(582152..582804,582803..582806)):CDS	"b0562"		CDS-pseudo	582152	582806
NC_000913:582953..583135:CDS	"b0563"		CDS-pseudo	582953	583135
NC_000913:join(658031..658225,658225..658818):CDS	"b4581"		CDS-pseudo	658031	658818
NC_000913:complement(715947..716597):CDS	"b0691"		CDS-pseudo	715947	716597
NC_000913:complement(716721..716870):CDS	"b4636"		CDS-pseudo	716721	716870
NC_000913:734133..735653:CDS	"b0703"		CDS-pseudo	734133	735653
NC_000913:736445..736684:CDS	"b4514"		CDS-pseudo	736445	736684
NC_000913:736825..737961:CDS	"b0705"		CDS-pseudo	736825	737961
NC_000913:join(1081356..1081460,1081460..1082185):CDS	"b4490"		CDS-pseudo	1081356	1082185
NC_000913:1095505..1095846:CDS	"b1028"		CDS-pseudo	1095505	1095846
NC_000913:1204170..1204403:CDS	"b4692"		CDS-pseudo	1204170	1204403
NC_000913:1204404..1205537:CDS	"b4693"		CDS-pseudo	1204404	1205537
NC_000913:1205731..1206142:CDS	"b1151"		CDS-pseudo	1205731	1206142
NC_000913:1206143..1206922:CDS	"b1152"		CDS-pseudo	1206143	1206922
NC_000913:complement(1209119..1209619):CDS	"b1157"		CDS-pseudo	1209119	1209619
NC_000913:1211413..1211577:CDS	"b4519"		CDS-pseudo	1211413	1211577
NC_000913:join(1219601..1222174,1222174..1222248):CDS	"b4491"		CDS-pseudo	1219601	1222248
NC_000913:join(1223564..1223671,1223671..1223907):CDS	"b4521"		CDS-pseudo	1223564	1223907
NC_000913:complement(join(1294426..1294992,1294992..1295141,:CDS	"b4573"		CDS-pseudo	1294426	1295141
NC_000913:join(1380821..1381777,1381777..1381902):CDS	"b4524"		CDS-pseudo	1380821	1381902
NC_000913:complement(1390725..1390862):CDS	"b4525"		CDS-pseudo	1390725	1390862
NC_000913:complement(1390868..1390933):CDS	"b4673"		CDS-pseudo	1390868	1390933
NC_000913:1422701..1423200:CDS	"b1361"		CDS-pseudo	1422701	1423200
NC_000913:1423201..1423644:CDS	"b1362"		CDS-pseudo	1423201	1423644
NC_000913:1425630..1426082:CDS	"b1366"		CDS-pseudo	1425630	1426082
NC_000913:1426454..1427386:CDS	"b1368"		CDS-pseudo	1426454	1427386
NC_000913:join(1427389..1427598,1428796..1428984):CDS	"b4570"		CDS-pseudo	1427389	1428984
NC_000913:complement(1434958..1435008):CDS	"b4638"		CDS-pseudo	1434958	1435008
NC_000913:join(1465392..1467904,1469241..1469293,1470517..1474013):CDS	"b4492"		CDS-pseudo	1465392	1474013
NC_000913:complement(join(1489713..1489964,1489964..1490713)):CDS	"b4493"		CDS-pseudo	1489713	1490713
NC_000913:complement(1503218..1503649):CDS	"b4578"		CDS-pseudo	1503218	1503649
NC_000913:1527902..1529938:CDS	"b1456"		CDS-pseudo	1527902	1529938
NC_000913:join(1530586..1531323,1531325..1531639):CDS	"b1459"		CDS-pseudo	1530586	1531639
NC_000913:complement(join(1544384..1544764,1544764..1545714)):CDS	"b1471"		CDS-pseudo	1544384	1545714
NC_000913:complement(1545750..1546028):CDS	"b1472"		CDS-pseudo	1545750	1546028
NC_000913:complement(1588853..1590079):CDS	"b1505"		CDS-pseudo	1588853	1590079
NC_000913:complement(join(1590334..1590426,1590426..1590536)):CDS	"b1506"		CDS-pseudo	1590334	1590536
NC_000913:complement(join(1592665..1594125,1594127..1597987)):CDS	"b4696"		CDS-pseudo	1592665	1597987
NC_000913:complement(join(1631002..1632285,1652755..1652838)):CDS	"b4600"		CDS-pseudo	1631002	1652838
NC_000913:complement(1635840..1636367):CDS	"b1548"		CDS-pseudo	1635840	1636367
NC_000913:complement(1647174..1647356):CDS	"b1567"		CDS-pseudo	1647174	1647356
NC_000913:complement(1647358..1647636):CDS	"b1568"		CDS-pseudo	1647358	1647636
NC_000913:1650078..1650842:CDS	"b1577"		CDS-pseudo	1650078	1650842
NC_000913:1650845..1651537:CDS	"b1578"		CDS-pseudo	1650845	1651537
NC_000913:1651551..1652708:CDS	"b1579"		CDS-pseudo	1651551	1652708
NC_000913:join(1803094..1803519,1803518..1804993):CDS	"b4494"		CDS-pseudo	1803094	1804993
NC_000913:complement(join(2011223..2011357,2011363..2012040,:CDS	"b4495"		CDS-pseudo	2011223	2012040
NC_000913:2012502..2012663:CDS	"b1936"		CDS-pseudo	2012502	2012663
NC_000913:join(2034051..2034713,2034713..2035243):CDS	"b4496"		CDS-pseudo	2034051	2035243
NC_000913:complement(2052276..2053328):CDS	"b4497"		CDS-pseudo	2052276	2053328
NC_000913:complement(2066068..2066154):CDS	"b4639"		CDS-pseudo	2066068	2066154
NC_000913:complement(join(2067360..2067458,2067458..2067892)):CDS	"b4640"		CDS-pseudo	2067360	2067892
NC_000913:complement(2068261..2068419):CDS	"b4641"		CDS-pseudo	2068261	2068419
NC_000913:join(2068635..2068940,2070277..2070474):CDS	"b4582"		CDS-pseudo	2068635	2070474
NC_000913:2070660..2071211:CDS	"b1999"		CDS-pseudo	2070660	2071211
NC_000913:2077940..2078107:CDS	"b2006"		CDS-pseudo	2077940	2078107
NC_000913:complement(2078549..2078677):CDS	"b4642"		CDS-pseudo	2078549	2078677
NC_000913:2078746..2078931:CDS	"b4538"		CDS-pseudo	2078746	2078931
NC_000913:complement(join(2101396..2101744,2102944..2103389)):CDS	"b4571"		CDS-pseudo	2101396	2103389
NC_000913:complement(2167602..2167814):CDS	"b2083"		CDS-pseudo	2167602	2167814
NC_000913:complement(join(2169693..2170167,2171429..2171727)):CDS	"b4498"		CDS-pseudo	2169693	2171727
NC_000913:complement(join(2172921..2173362,2173365..2174278)):CDS	"b2092"		CDS-pseudo	2172921	2174278
NC_000913:join(2196474..2199320,2199322..2200269):CDS	"b4499"		CDS-pseudo	2196474	2200269
NC_000913:2209100..2211100:CDS	"b2122"		CDS-pseudo	2209100	2211100
NC_000913:complement(join(2227323..2228609,2228609..2228758)):CDS	"b2139"		CDS-pseudo	2227323	2228758
NC_000913:complement(join(2286390..2288914,2290114..2290180)):CDS	"b2190"		CDS-pseudo	2286390	2290180
NC_000913:complement(2329798..2334402):CDS	"b4500"		CDS-pseudo	2329798	2334402
NC_000913:2349651..2349893:CDS	"b2238"		CDS-pseudo	2349651	2349893
NC_000913:2357804..2358001:CDS	"b4543"		CDS-pseudo	2357804	2358001
NC_000913:complement(2452356..2455001):CDS	"b4661"		CDS-pseudo	2452356	2455001
NC_000913:2470815..2471105:CDS	"b2353"		CDS-pseudo	2470815	2471105
NC_000913:complement(2471544..2472122):CDS	"b2355"		CDS-pseudo	2471544	2472122
NC_000913:complement(2472118..2472387):CDS	"b2356"		CDS-pseudo	2472118	2472387
NC_000913:complement(2472878..2473585):CDS	"b2358"		CDS-pseudo	2472878	2473585
NC_000913:2476181..2476231:CDS	"b4545"		CDS-pseudo	2476181	2476231
NC_000913:complement(2772002..2772154):CDS	"b2638"		CDS-pseudo	2772002	2772154
NC_000913:complement(join(2772167..2773066,2773066..2773182)):CDS	"b2641"		CDS-pseudo	2772167	2773182
NC_000913:join(2775545..2775724,2775724..2775816):CDS	"b4644"		CDS-pseudo	2775545	2775816
NC_000913:complement(2783065..2783304):CDS	"b2648"		CDS-pseudo	2783065	2783304
NC_000913:complement(2783638..2785011):CDS	"b2650"		CDS-pseudo	2783638	2785011
NC_000913:2786397..2788649:CDS	"b4462"		CDS-pseudo	2786397	2788649
NC_000913:join(2808316..2808576,2808570..2809493):CDS	"b2681"		CDS-pseudo	2808316	2809493
NC_000913:join(2990554..2990949,2990948..2991043):CDS	"b2850"		CDS-pseudo	2990554	2991043
NC_000913:join(2993939..2994382,2994382..2994441):CDS	"b2854"		CDS-pseudo	2993939	2994441
NC_000913:complement(2994460..2995092):CDS	"b2856"		CDS-pseudo	2994460	2995092
NC_000913:complement(join(2995314..2995760,2995760..2996020)):CDS	"b2858"		CDS-pseudo	2995314	2996020
NC_000913:complement(2995962..2996360):CDS	"b2859"		CDS-pseudo	2995962	2996360
NC_000913:complement(2997692..2998828):CDS	"b2863"		CDS-pseudo	2997692	2998828
NC_000913:complement(join(3035184..3036206,3036208..3036282)):CDS	"b2891"	"peptide chain release factor rf-2"	CDS-frameshift	3035184	3036282
NC_000913:complement(3059381..3059701):CDS	"b2915"		CDS-pseudo	3059381	3059701
NC_000913:complement(3111128..3112090):CDS	"b2969"		CDS-pseudo	3111128	3112090
NC_000913:complement(3112093..3112941):CDS	"b2970"		CDS-pseudo	3112093	3112941
NC_000913:complement(3129043..3130143):CDS	"b2981"		CDS-pseudo	3129043	3130143
NC_000913:complement(join(3146856..3147272,3147272..3147691)):CDS	"b4658"		CDS-pseudo	3146856	3147691
NC_000913:join(3186061..3186090,3187427..3189865):CDS	"b3046"		CDS-pseudo	3186061	3189865
NC_000913:3280701..3281075:CDS	"b3134"		CDS-pseudo	3280701	3281075
NC_000913:3281071..3281625:CDS	"b3135"		CDS-pseudo	3281071	3281625
NC_000913:join(3365185..3365551,3366751..3366929):CDS	"b4569"		CDS-pseudo	3365185	3366929
NC_000913:3404495..3404637:CDS	"b4697"		CDS-pseudo	3404495	3404637
NC_000913:join(3404638..3404733,3404732..3405031):CDS	"b4646"		CDS-pseudo	3404638	3405031
NC_000913:join(3419042..3419107,3419107..3420066):CDS	"b3268"		CDS-pseudo	3419042	3420066
NC_000913:complement(join(3559848..3560453,3560456..3560605)):CDS	"b3423"		CDS-pseudo	3559848	3560605
NC_000913:complement(3563787..3564005):CDS	"b3427"		CDS-pseudo	3563787	3564005
NC_000913:join(3583038..3583418,3584196..3584309):CDS	"b3443"		CDS-pseudo	3583038	3584309
NC_000913:3623887..3624237:CDS	"b4552"		CDS-pseudo	3623887	3624237
NC_000913:complement(join(3632852..3633265,3633265..3634458)):CDS	"b4660"		CDS-pseudo	3632852	3634458
NC_000913:join(3651291..3652031,3653231..3653713):CDS	"b3504"		CDS-pseudo	3651291	3653713
NC_000913:complement(3695233..3695985):CDS	"b3534"		CDS-pseudo	3695233	3695985
NC_000913:complement(3720448..3720632):CDS	"b4647"		CDS-pseudo	3720448	3720632
NC_000913:complement(3750813..3750914):CDS	"b4648"		CDS-pseudo	3750813	3750914
NC_000913:3750918..3751109:CDS	"b4649"		CDS-pseudo	3750918	3751109
NC_000913:3767221..3768165:CDS	"b3595"		CDS-pseudo	3767221	3768165
NC_000913:3768639..3768890:CDS	"b4650"		CDS-pseudo	3768639	3768890
NC_000913:join(3768892..3768975,3768975..3769256):CDS	"b4651"		CDS-pseudo	3768892	3769256
NC_000913:join(3769345..3769671,3769673..3769783):CDS	"b4615"		CDS-pseudo	3769345	3769783
NC_000913:join(3769948..3770034,3770033..3770146):CDS	"b4652"		CDS-pseudo	3769948	3770146
NC_000913:complement(join(3815834..3815881,3815881..3816549)):CDS	"b3643"		CDS-pseudo	3815834	3816549
NC_000913:3836425..3836556:CDS	"b4653"		CDS-pseudo	3836425	3836556
NC_000913:complement(3861173..3861987):CDS	"b4556"		CDS-pseudo	3861173	3861987
NC_000913:complement(3861987..3863603):CDS	"b3683"		CDS-pseudo	3861987	3863603
NC_000913:join(3950560..3951543,3951542..3952204):CDS	"b4488"		CDS-pseudo	3950560	3952204
NC_000913:complement(join(3960012..3960254,3960254..3960460)):CDS	"b3777"		CDS-pseudo	3960012	3960460
NC_000913:join(4250703..4250885,4250885..4250959,4250961..4252283):CDS	"b4038"		CDS-pseudo	4250703	4252283
NC_000913:complement(join(4322443..4322814,4322805..4323230)):CDS	"b4104"		CDS-pseudo	4322443	4323230
NC_000913:complement(join(4362191..4362271,4362270..4362353)):CDS	"b4654"		CDS-pseudo	4362191	4362353
NC_000913:4427694..4428095:CDS	"b4205"		CDS-pseudo	4427694	4428095
NC_000913:4459490..4459855:CDS	"b4236"		CDS-pseudo	4459490	4459855
NC_000913:4496675..4497940:CDS	"b4271"		CDS-pseudo	4496675	4497940
NC_000913:complement(join(4499593..4500534,4500534..4500791)):CDS	"b4575"		CDS-pseudo	4499593	4500791
NC_000913:complement(4506626..4506856):CDS	"b4281"		CDS-pseudo	4506626	4506856
NC_000913:4506861..4507109:CDS	"b4282"		CDS-pseudo	4506861	4507109
NC_000913:join(4507197..4507451,4509009..4509479,4509479..4509793):CDS	"b4623"		CDS-pseudo	4507197	4509793
NC_000913:complement(4508676..4508942):CDS	"b4561"		CDS-pseudo	4508676	4508942
NC_000913:4509804..4510133:CDS	"b4286"		CDS-pseudo	4509804	4510133
NC_000913:4518721..4519224:CDS	"b4576"		CDS-pseudo	4518721	4519224
NC_000913:complement(4532050..4532310):CDS	"b4656"		CDS-pseudo	4532050	4532310
NC_000913:complement(4534430..4534675):CDS	"b4657"		CDS-pseudo	4534430	4534675
NC_000913:join(4534791..4535003,4535003..4536031):CDS	"b4308"		CDS-frameshift-pseudo	4534791	4536031
NC_000913:4568998..4569918:CDS	"b4339"		CDS-pseudo	4568998	4569918
NC_000913:4572414..4573916:CDS	"b4342"		CDS-pseudo	4572414	4573916
NC_000913:4573919..4576855:CDS	"b4486"		CDS-pseudo	4573919	4576855
